Date,,^GSPC,^IXIC,^RUT
2013-07-08,^GSPC,5.870531283658839e-05,6.140676534165701e-05,6.677503673310871e-05
2013-07-08,^IXIC,6.140676534165701e-05,7.157953456977003e-05,7.406411512645947e-05
2013-07-08,^RUT,6.677503673310871e-05,7.406411512645947e-05,9.206635683442207e-05
2013-07-09,^GSPC,5.884653240710933e-05,6.150565106463477e-05,6.693687438947914e-05
2013-07-09,^IXIC,6.150565106463477e-05,7.164593315420625e-05,7.417414990429145e-05
2013-07-09,^RUT,6.693687438947914e-05,7.417414990429145e-05,9.224802064919573e-05
2013-07-10,^GSPC,5.852494567221481e-05,6.11052042942599e-05,6.646557060302637e-05
2013-07-10,^IXIC,6.11052042942599e-05,7.123772704760952e-05,7.363076252154109e-05
2013-07-10,^RUT,6.646557060302637e-05,7.363076252154109e-05,9.157821158737956e-05
2013-07-11,^GSPC,5.91656549814053e-05,6.187198999446132e-05,6.702955447258528e-05
2013-07-11,^IXIC,6.187198999446132e-05,7.206671956202945e-05,7.42315937108108e-05
2013-07-11,^RUT,6.702955447258528e-05,7.42315937108108e-05,9.201268736536288e-05
2013-07-12,^GSPC,5.9043441471024305e-05,6.171531471756431e-05,6.694188413783511e-05
2013-07-12,^IXIC,6.171531471756431e-05,7.188605609650522e-05,7.412396035651638e-05
2013-07-12,^RUT,6.694188413783511e-05,7.412396035651638e-05,9.195091804947798e-05
2013-07-15,^GSPC,5.8069782932945265e-05,6.085228683942707e-05,6.612098605461965e-05
2013-07-15,^IXIC,6.085228683942707e-05,7.112324195087924e-05,7.341114708444656e-05
2013-07-15,^RUT,6.612098605461965e-05,7.341114708444656e-05,9.136069079127786e-05
2013-07-16,^GSPC,5.811344999200764e-05,6.085235491434645e-05,6.613816909625609e-05
2013-07-16,^IXIC,6.085235491434645e-05,7.107442182469673e-05,7.335841648100617e-05
2013-07-16,^RUT,6.613816909625609e-05,7.335841648100617e-05,9.131044027338638e-05
2013-07-17,^GSPC,5.79564439775495e-05,6.077481915648171e-05,6.609463652729727e-05
2013-07-17,^IXIC,6.077481915648171e-05,7.104290705350064e-05,7.334692448021703e-05
2013-07-17,^RUT,6.609463652729727e-05,7.334692448021703e-05,9.131314732268477e-05
2013-07-18,^GSPC,5.789035529802936e-05,6.052512499712564e-05,6.606235851232555e-05
2013-07-18,^IXIC,6.052512499712564e-05,7.061688914659952e-05,7.308898890628655e-05
2013-07-18,^RUT,6.606235851232555e-05,7.308898890628655e-05,9.133312420975534e-05
2013-07-19,^GSPC,5.78787376318181e-05,6.044982494953028e-05,6.609474675419645e-05
2013-07-19,^IXIC,6.044982494953028e-05,7.063360340626594e-05,7.325025406287652e-05
2013-07-19,^RUT,6.609474675419645e-05,7.325025406287652e-05,9.124752158903397e-05
2013-07-22,^GSPC,5.740336965947858e-05,5.9824493443091314e-05,6.546922518642209e-05
2013-07-22,^IXIC,5.9824493443091314e-05,6.981684263728681e-05,7.242794844118524e-05
2013-07-22,^RUT,6.546922518642209e-05,7.242794844118524e-05,9.042446911905331e-05
2013-07-23,^GSPC,5.704638627374649e-05,5.9390660634056634e-05,6.481727915077911e-05
2013-07-23,^IXIC,5.9390660634056634e-05,6.93318179644009e-05,7.160205436139348e-05
